Year,Treatment,Rep,Response
1950,Control,1,16.029406027712803
1951,Control,1,-0.8239897831527578
1952,Control,1,27.21864738316153
1953,Control,1,23.635688992157558
1954,Control,1,16.209796454938413
1955,Control,1,13.41915994023385
1956,Control,1,13.507886128582705
1957,Control,1,12.701223005346499
1958,Control,1,7.721915869706334
1959,Control,1,22.484482405408542
1960,Control,1,22.060335228443268
1961,Control,1,9.408273229392009
1962,Control,1,9.7475197580894
1963,Control,1,24.201010028696516
1964,Control,1,0.5375358314387224
1965,Control,1,7.338790941810686
1966,Control,1,11.608667838903704
1967,Control,1,10.446302903820023
1968,Control,1,-1.0261609990699228
1969,Control,1,22.392224030317905
1970,Control,1,36.01675828779493
1971,Control,1,31.956900289417018
1972,Control,1,23.607297136924437
1973,Control,1,4.732713721422433
1974,Control,1,3.929772664532564
1975,Control,1,9.988372878952369
1976,Control,1,13.408230525572987
1977,Control,1,3.2111566880589884
1978,Control,1,17.689722718399356
1979,Control,1,21.5016780954399
1980,Control,1,26.60067071987616
1981,Control,1,23.216884592472013
1982,Control,1,-5.649500287943287
1983,Control,1,16.774725918598953
1984,Control,1,27.850485185566363
1985,Control,1,18.283262052007863
1986,Control,1,5.363444004555996
1987,Control,1,16.46820549193114
1988,Control,1,29.25638261908069
1989,Control,1,19.561159853429018
1990,Control,1,25.269882135739216
1991,Control,1,19.57573704758888
1992,Control,1,9.33376143329603
1993,Control,1,0.5250023234626244
1994,Control,1,27.745816483897197
1995,Control,1,14.872629131678282
1996,Control,1,2.458042229473074
1997,Control,1,17.959861225674658
1998,Control,1,17.602617482860005
1999,Control,1,16.640334791276956
2000,Control,1,22.40937463096958
2001,Control,1,0.7659941086250299
2002,Control,1,16.52457288435704
2003,Control,1,-4.000983049194552
2004,Control,1,14.442008654685145
2005,Control,1,4.938579336373337
2006,Control,1,7.652335900839048
2007,Control,1,7.5755650939322186
2008,Control,1,14.05017367455444
2009,Control,1,7.9497315227885705
2010,Control,1,12.212354749742449
2011,Control,1,36.69624730131716
2012,Control,1,32.97662940662285
2013,Control,1,11.911134582907426
2014,Control,1,5.553064072930653
2015,Control,1,8.0810049005052
2016,Control,1,11.42182310609051
2017,Control,1,19.254240467816537
2018,Control,1,23.03073768329503
2019,Control,1,26.726948001284327
2020,Control,1,22.329136481321672
2021,Control,1,24.222542621813226
2022,Control,1,8.28015557419334
2023,Control,1,24.437482293359512
1950,Treatment 1,1,8.396802201768027
1951,Treatment 1,1,9.709686836021074
1952,Treatment 1,1,14.904608168373196
1953,Treatment 1,1,13.483802149643346
1954,Treatment 1,1,20.49345517073374
1955,Treatment 1,1,21.684709692980398
1956,Treatment 1,1,18.543227869998972
1957,Treatment 1,1,10.706724190951231
1958,Treatment 1,1,16.431834605579006
1959,Treatment 1,1,17.27203810905987
1960,Treatment 1,1,12.072208999653585
1961,Treatment 1,1,17.969674887686477
1962,Treatment 1,1,14.078123453743823
1963,Treatment 1,1,23.137384913158087
1964,Treatment 1,1,11.813513549048166
1965,Treatment 1,1,15.718781157703445
1966,Treatment 1,1,24.89147748151596
1967,Treatment 1,1,8.813870727002943
1968,Treatment 1,1,24.756795650462365
1969,Treatment 1,1,18.769069006436176
1970,Treatment 1,1,6.074001669766801
1971,Treatment 1,1,4.8768924454156615
1972,Treatment 1,1,25.802594357227463
1973,Treatment 1,1,25.708152539477105
1974,Treatment 1,1,0.8961587560852795
1975,Treatment 1,1,22.23708611488388
1976,Treatment 1,1,24.584664091814922
1977,Treatment 1,1,6.194063624551083
1978,Treatment 1,1,11.7852074367455
1979,Treatment 1,1,11.771027834916001
1980,Treatment 1,1,8.013085711635265
1981,Treatment 1,1,19.288547234109807
1982,Treatment 1,1,14.384113944161514
1983,Treatment 1,1,5.631530267260516
1984,Treatment 1,1,16.383054191609226
1985,Treatment 1,1,4.493299508842691
1986,Treatment 1,1,5.238159752224766
1987,Treatment 1,1,15.489354212503079
1988,Treatment 1,1,15.223984095207593
1989,Treatment 1,1,20.06566868166331
1990,Treatment 1,1,13.7101034002408
1991,Treatment 1,1,16.2660840202794
1992,Treatment 1,1,6.313828357493328
1993,Treatment 1,1,21.857081631949292
1994,Treatment 1,1,8.845266189173499
1995,Treatment 1,1,5.902808217847422
1996,Treatment 1,1,22.53548320394302
1997,Treatment 1,1,16.52374622615595
1998,Treatment 1,1,24.479564414960855
1999,Treatment 1,1,20.03974860936759
2000,Treatment 1,1,19.44092304711671
2001,Treatment 1,1,16.302816350037457
2002,Treatment 1,1,17.573760502448135
2003,Treatment 1,1,7.748158476440452
2004,Treatment 1,1,21.226718017574242
2005,Treatment 1,1,8.19289073413154
2006,Treatment 1,1,7.5404769627083255
2007,Treatment 1,1,23.75507572492015
2008,Treatment 1,1,25.64827911204065
2009,Treatment 1,1,2.8168074985418414
2010,Treatment 1,1,17.388752327239896
2011,Treatment 1,1,0.8525577805327842
2012,Treatment 1,1,0.5599807355305355
2013,Treatment 1,1,15.56072173088554
2014,Treatment 1,1,16.130824024700026
2015,Treatment 1,1,5.035067885273271
2016,Treatment 1,1,6.334439913181093
2017,Treatment 1,1,7.484747107749606
2018,Treatment 1,1,13.70424708135504
2019,Treatment 1,1,21.770832963360007
2020,Treatment 1,1,13.354526677503456
2021,Treatment 1,1,11.467121519868208
2022,Treatment 1,1,20.10543727817056
2023,Treatment 1,1,11.56966817358411
1950,Treatment 2,1,12.767193924347518
1951,Treatment 2,1,-3.8686170230332415
1952,Treatment 2,1,20.056085524140794
1953,Treatment 2,1,16.425616390463905
1954,Treatment 2,1,12.907755005656266
1955,Treatment 2,1,5.873274667585724
1956,Treatment 2,1,4.565405215983905
1957,Treatment 2,1,12.358870907722288
1958,Treatment 2,1,28.36971516859421
1959,Treatment 2,1,3.7196251180063307
1960,Treatment 2,1,5.135022026995708
1961,Treatment 2,1,13.506801148924211
1962,Treatment 2,1,11.668983748583482
1963,Treatment 2,1,9.035560708759188
1964,Treatment 2,1,6.961801360055947
1965,Treatment 2,1,-6.0760136425812306
1966,Treatment 2,1,8.710668035502104
1967,Treatment 2,1,19.10797954018703
1968,Treatment 2,1,17.068838799508384
1969,Treatment 2,1,19.70072515660216
1970,Treatment 2,1,6.657599506601805
1971,Treatment 2,1,9.357206356816533
1972,Treatment 2,1,21.55634254900401
1973,Treatment 2,1,7.903256253943821
1974,Treatment 2,1,13.32548198779658
1975,Treatment 2,1,17.690912098516275
1976,Treatment 2,1,12.22846510533288
1977,Treatment 2,1,-1.554824922232882
1978,Treatment 2,1,17.185318324273666
1979,Treatment 2,1,21.72096661035465
1980,Treatment 2,1,7.67105268588102
1981,Treatment 2,1,13.763627273240843
1982,Treatment 2,1,16.94107969515384
1983,Treatment 2,1,14.735874205794161
1984,Treatment 2,1,18.71793103057855
1985,Treatment 2,1,19.74031476720771
1986,Treatment 2,1,4.335089881388125
1987,Treatment 2,1,19.819166451833706
1988,Treatment 2,1,24.432084686052534
1989,Treatment 2,1,15.237335294739466
1990,Treatment 2,1,15.64745065797548
1991,Treatment 2,1,9.202538485738003
1992,Treatment 2,1,22.22547194530017
1993,Treatment 2,1,5.513968086025452
1994,Treatment 2,1,1.458958514427282
1995,Treatment 2,1,30.793413941421313
1996,Treatment 2,1,6.8385109006087195
1997,Treatment 2,1,8.843370387416606
1998,Treatment 2,1,7.423902402825126
1999,Treatment 2,1,10.33315837625527
2000,Treatment 2,1,4.13041520515824
2001,Treatment 2,1,17.842735564963885
2002,Treatment 2,1,8.654069074031648
2003,Treatment 2,1,8.754523749466728
2004,Treatment 2,1,15.84425259878431
2005,Treatment 2,1,17.116078219082862
2006,Treatment 2,1,17.65582895985912
2007,Treatment 2,1,29.448598843896175
2008,Treatment 2,1,25.49572391583341
2009,Treatment 2,1,12.033730316004421
2010,Treatment 2,1,19.25058962713981
2011,Treatment 2,1,5.247539559532184
2012,Treatment 2,1,28.62382428455566
2013,Treatment 2,1,21.64699677160085
2014,Treatment 2,1,12.56775247359973
2015,Treatment 2,1,21.875401181286794
2016,Treatment 2,1,13.396991114501088
2017,Treatment 2,1,9.394986168432366
2018,Treatment 2,1,-1.3702104504632011
2019,Treatment 2,1,27.431907835019313
2020,Treatment 2,1,14.03216922334105
2021,Treatment 2,1,27.754476360775293
2022,Treatment 2,1,14.963874292739549
2023,Treatment 2,1,15.304997658066062
1950,Control,2,12.852482180138127
1951,Control,2,27.14472585676594
1952,Control,2,34.7462211494756
1953,Control,2,17.414795477764702
1954,Control,2,-7.380981504402975
1955,Control,2,17.240413065281793
1956,Control,2,21.92953001954938
1957,Control,2,24.477081964026624
1958,Control,2,24.28560996290989
1959,Control,2,24.66671344251519
1960,Control,2,8.639189946784413
1961,Control,2,7.2310376861953305
1962,Control,2,27.620045956238684
1963,Control,2,7.172355949798913
1964,Control,2,15.99790031764218
1965,Control,2,20.893255543598805
1966,Control,2,21.172337590533232
1967,Control,2,19.020159583210617
1968,Control,2,16.181167546352953
1969,Control,2,23.481745146783265
1970,Control,2,13.304903711138381
1971,Control,2,20.74889700213535
1972,Control,2,16.221515020567274
1973,Control,2,13.075504710285497
1974,Control,2,30.885873599545008
1975,Control,2,15.4398087895138
1976,Control,2,29.19027690905301
1977,Control,2,23.92073668383063
1978,Control,2,9.782769706008466
1979,Control,2,25.0956068120462
1980,Control,2,27.080236336879434
1981,Control,2,23.85000290823971
1982,Control,2,15.581678943248386
1983,Control,2,21.389271374504382
1984,Control,2,17.662956858132617
1985,Control,2,24.13588136798051
1986,Control,2,3.8554898559721558
1987,Control,2,33.72407157867547
1988,Control,2,4.912335376525991
1989,Control,2,14.816986958141005
1990,Control,2,24.84210596812912
1991,Control,2,12.047538261639978
1992,Control,2,15.441399821150078
1993,Control,2,14.550876428130803
1994,Control,2,3.423648898013072
1995,Control,2,23.24502703731965
1996,Control,2,23.436467031750833
1997,Control,2,20.521941211850617
1998,Control,2,6.778653582680624
1999,Control,2,10.849605442707858
2000,Control,2,8.442912294789531
2001,Control,2,14.417263422989617
2002,Control,2,15.868950199701324
2003,Control,2,8.829603018650783
2004,Control,2,-6.334562154534165
2005,Control,2,18.5610105680461
2006,Control,2,10.318680744883062
2007,Control,2,15.977044436082878
2008,Control,2,16.036365734599833
2009,Control,2,14.450284785837294
2010,Control,2,-0.12572752781310292
2011,Control,2,20.64480558546923
2012,Control,2,19.640518618623762
2013,Control,2,21.83732064559129
2014,Control,2,7.047152333202921
2015,Control,2,12.52497325196257
2016,Control,2,20.96486263171947
2017,Control,2,12.566172267366376
2018,Control,2,12.102789915494993
2019,Control,2,15.29637834359005
2020,Control,2,15.408492265964183
2021,Control,2,19.94417931451236
2022,Control,2,16.08033821209463
2023,Control,2,13.558331000100297
1950,Treatment 1,2,7.294886961413139
1951,Treatment 1,2,13.554795131700484
1952,Treatment 1,2,18.848176110004648
1953,Treatment 1,2,16.940703223589367
1954,Treatment 1,2,2.1615292269038004
1955,Treatment 1,2,2.3178941993322493
1956,Treatment 1,2,24.288824659118752
1957,Treatment 1,2,23.09394884077907
1958,Treatment 1,2,21.542973852756237
1959,Treatment 1,2,26.201229692232936
1960,Treatment 1,2,13.574498421198223
1961,Treatment 1,2,26.357067245740645
1962,Treatment 1,2,19.226725614145664
1963,Treatment 1,2,13.172879040137335
1964,Treatment 1,2,21.541001104286245
1965,Treatment 1,2,-5.728661641181148
1966,Treatment 1,2,12.683438371974658
1967,Treatment 1,2,7.053759130158442
1968,Treatment 1,2,12.917350556014668
1969,Treatment 1,2,18.46143793530365
1970,Treatment 1,2,38.69714692254469
1971,Treatment 1,2,15.359110919062553
1972,Treatment 1,2,15.330239377863217
1973,Treatment 1,2,16.255222487101346
1974,Treatment 1,2,17.58459131821963
1975,Treatment 1,2,29.37846112662927
1976,Treatment 1,2,17.08562409040499
1977,Treatment 1,2,16.77471928985628
1978,Treatment 1,2,6.846100782999622
1979,Treatment 1,2,29.079844120295355
1980,Treatment 1,2,22.635157166426332
1981,Treatment 1,2,7.104073853879477
1982,Treatment 1,2,4.012439120904917
1983,Treatment 1,2,16.798888918069373
1984,Treatment 1,2,17.59473764198232
1985,Treatment 1,2,8.706166844364196
1986,Treatment 1,2,24.682499515895184
1987,Treatment 1,2,9.596430787286415
1988,Treatment 1,2,10.046399573207978
1989,Treatment 1,2,25.493751550294583
1990,Treatment 1,2,17.20237326763836
1991,Treatment 1,2,5.890487775973238
1992,Treatment 1,2,7.750324958187952
1993,Treatment 1,2,4.888272223494937
1994,Treatment 1,2,21.470441733171622
1995,Treatment 1,2,2.742626406044975
1996,Treatment 1,2,17.570077792826694
1997,Treatment 1,2,15.011982507140567
1998,Treatment 1,2,20.323858774851495
1999,Treatment 1,2,14.639853937340147
2000,Treatment 1,2,11.020695542624233
2001,Treatment 1,2,18.55938887190298
2002,Treatment 1,2,15.396246980857642
2003,Treatment 1,2,12.450111935863013
2004,Treatment 1,2,9.003351245857424
2005,Treatment 1,2,22.028090407587168
2006,Treatment 1,2,14.26708775451373
2007,Treatment 1,2,26.981221517339463
2008,Treatment 1,2,9.192477164790528
2009,Treatment 1,2,16.499643772000834
2010,Treatment 1,2,13.42160088438458
2011,Treatment 1,2,1.2965243680863292
2012,Treatment 1,2,2.9494187310483166
2013,Treatment 1,2,16.353287757384248
2014,Treatment 1,2,14.391470136360963
2015,Treatment 1,2,19.06809698351369
2016,Treatment 1,2,13.996359580616769
2017,Treatment 1,2,8.932915871704886
2018,Treatment 1,2,29.780469932488728
2019,Treatment 1,2,14.712650865450819
2020,Treatment 1,2,12.16403330337193
2021,Treatment 1,2,23.54356116660299
2022,Treatment 1,2,-0.8465076924841721
2023,Treatment 1,2,21.309109419512893
1950,Treatment 2,2,16.934474832357477
1951,Treatment 2,2,3.804883579558476
1952,Treatment 2,2,6.04936513488534
1953,Treatment 2,2,16.75290573509056
1954,Treatment 2,2,23.69039833757734
1955,Treatment 2,2,17.64094251670328
1956,Treatment 2,2,19.92339742649375
1957,Treatment 2,2,14.968096228403303
1958,Treatment 2,2,17.297354977469702
1959,Treatment 2,2,5.435041318338476
1960,Treatment 2,2,8.575204854873784
1961,Treatment 2,2,17.635168922166695
1962,Treatment 2,2,-6.548043340307746
1963,Treatment 2,2,22.095536397254406
1964,Treatment 2,2,21.979020580890456
1965,Treatment 2,2,16.676415683130745
1966,Treatment 2,2,25.43534913775654
1967,Treatment 2,2,10.243273357921593
1968,Treatment 2,2,2.4747354738515845
1969,Treatment 2,2,14.57417491904801
1970,Treatment 2,2,5.314307485504807
1971,Treatment 2,2,2.400084919328526
1972,Treatment 2,2,26.98243446811602
1973,Treatment 2,2,15.723244425134684
1974,Treatment 2,2,15.817317124908671
1975,Treatment 2,2,19.389457914893345
1976,Treatment 2,2,11.788751782381954
1977,Treatment 2,2,6.29239929807691
1978,Treatment 2,2,7.274024232857174
1979,Treatment 2,2,8.315228833357892
1980,Treatment 2,2,20.297524020944692
1981,Treatment 2,2,10.07687224146979
1982,Treatment 2,2,11.174687114839688
1983,Treatment 2,2,12.299806977185074
1984,Treatment 2,2,9.818364824126158
1985,Treatment 2,2,17.836111248559657
1986,Treatment 2,2,6.789828508963382
1987,Treatment 2,2,-0.24569973636022802
1988,Treatment 2,2,15.612778331105146
1989,Treatment 2,2,24.07187626790995
1990,Treatment 2,2,26.755622393258427
1991,Treatment 2,2,18.994598891133464
1992,Treatment 2,2,18.50893158073595
1993,Treatment 2,2,-2.205527541992222
1994,Treatment 2,2,8.888806401494742
